group,file,L2 atomic active (avg),L2 atomic active (sum),LSU inst,DRAM throughput,Stall (lg),Stall (selected),Stall (membar)
K=1,ncu_resultsK1_1.csv,204800000.0,3276800000.0,102401024.0,0.0,97.19,0.0,0.0
K=1,ncu_resultsK1_2.csv,204800000.0,3276800000.0,102401024.0,0.0,97.18,0.0,0.0
K=1,ncu_resultsK1_3.csv,204800000.0,3276800000.0,102401024.0,0.0,97.19,0.0,0.0
K=1,ncu_resultsK1_4.csv,204800000.0,3276800000.0,102401024.0,0.0,97.19,0.0,0.0
K=1,ncu_resultsK1_5.csv,204800000.0,3276800000.0,102401024.0,0.0,97.18,0.0,0.0
